iteration 592 performed, best fitness : 1390.95
iteration 593 performed, best fitness : 1391.27
iteration 594 performed, best fitness : 1390.36
iteration 595 performed, best fitness : 1390.84
iteration 596 performed, best fitness : 1390.66
iteration 597 performed, best fitness : 1391.79
iteration 598 performed, best fitness : 1391.54
iteration 599 performed, best fitness : 1391.72
iteration 600 performed, best fitness : 1391.14
iteration 601 performed, best fitness : 1390.81
iteration 602 performed, best fitness : 1391.61
iteration 603 performed, best fitness : 1391.48
iteration 604 performed, best fitness : 1391.35
iteration 605 performed, best fitness : 1391.69
iteration 606 performed, best fitness : 1391.58
iteration 607 performed, best fitness : 1391.86
iteration 608 performed, best fitness : 1392.04
iteration 609 performed, best fitness : 1391.82
iteration 610 performed, best fitness : 1391.41
iteration 611 performed, best fitness : 1392.22
iteration 612 performed, best fitness : 1392.08
iteration 613 performed, best fitness : 1391.47
iteration 614 performed, best fitness : 1392.5
iteration 615 performed, best fitness : 1392.5
iteration 616 performed, best fitness : 1393.31
iteration 617 performed, best fitness : 1392.7
iteration 618 performed, best fitness : 1392.22
iteration 619 performed, best fitness : 1392.9
iteration 620 performed, best fitness : 1392.6
iteration 621 performed, best fitness : 1392.84
iteration 622 performed, best fitness : 1392.69
iteration 623 performed, best fitness : 1392.49
iteration 624 performed, best fitness : 1392.58
iteration 625 performed, best fitness : 1393.04
iteration 626 performed, best fitness : 1392.89
iteration 627 performed, best fitness : 1392.55
iteration 628 performed, best fitness : 1392.52
iteration 629 performed, best fitness : 1392.84
iteration 630 performed, best fitness : 1392.72
iteration 631 performed, best fitness : 1392.86
iteration 632 performed, best fitness : 1392.66
iteration 633 performed, best fitness : 1392.84
iteration 634 performed, best fitness : 1393.53
iteration 635 performed, best fitness : 1393.26
iteration 636 performed, best fitness : 1392.82
iteration 637 performed, best fitness : 1393.34
iteration 638 performed, best fitness : 1392.92
iteration 639 performed, best fitness : 1393.28
iteration 640 performed, best fitness : 1393.19
iteration 641 performed, best fitness : 1393.07
iteration 642 performed, best fitness : 1392.99
iteration 643 performed, best fitness : 1392.89
iteration 644 performed, best fitness : 1393.07
iteration 645 performed, best fitness : 1393.18
iteration 646 performed, best fitness : 1394.05
iteration 647 performed, best fitness : 1393.74
iteration 648 performed, best fitness : 1393.38
iteration 649 performed, best fitness : 1393.09
iteration 650 performed, best fitness : 1393.39
iteration 651 performed, best fitness : 1394.02
iteration 652 performed, best fitness : 1393.69
iteration 653 performed, best fitness : 1393.39
iteration 654 performed, best fitness : 1393.79
iteration 655 performed, best fitness : 1394.26
iteration 656 performed, best fitness : 1393.83
iteration 657 performed, best fitness : 1394.06
iteration 658 performed, best fitness : 1394.12
iteration 659 performed, best fitness : 1394.49
iteration 660 performed, best fitness : 1394.37
iteration 661 performed, best fitness : 1394.73
iteration 662 performed, best fitness : 1394.57
iteration 663 performed, best fitness : 1394.49
iteration 664 performed, best fitness : 1395.29
iteration 665 performed, best fitness : 1394.53
iteration 666 performed, best fitness : 1394.09
iteration 667 performed, best fitness : 1394.45
iteration 668 performed, best fitness : 1394.59
iteration 669 performed, best fitness : 1394.43
iteration 670 performed, best fitness : 1394.59
iteration 671 performed, best fitness : 1394.32
iteration 672 performed, best fitness : 1395.36
iteration 673 performed, best fitness : 1395.2
iteration 674 performed, best fitness : 1395.16
iteration 675 performed, best fitness : 1395.1
iteration 676 performed, best fitness : 1394.48
iteration 677 performed, best fitness : 1394.82
iteration 678 performed, best fitness : 1395.25
iteration 679 performed, best fitness : 1395.31
iteration 680 performed, best fitness : 1395.09
iteration 681 performed, best fitness : 1395.4
iteration 682 performed, best fitness : 1395.02
iteration 683 performed, best fitness : 1396.1
iteration 684 performed, best fitness : 1395.28
iteration 685 performed, best fitness : 1395.26
iteration 686 performed, best fitness : 1395.88
iteration 687 performed, best fitness : 1395.86
iteration 688 performed, best fitness : 1395.55
iteration 689 performed, best fitness : 1395.76
iteration 690 performed, best fitness : 1395.97
iteration 691 performed, best fitness : 1395.29
iteration 692 performed, best fitness : 1395.97
iteration 693 performed, best fitness : 1396.56
iteration 694 performed, best fitness : 1396.22
iteration 695 performed, best fitness : 1395.78
iteration 696 performed, best fitness : 1395.9
iteration 697 performed, best fitness : 1396.91
iteration 698 performed, best fitness : 1396.59
iteration 699 performed, best fitness : 1396.09
iteration 700 performed, best fitness : 1396.18
iteration 701 performed, best fitness : 1396.3
iteration 702 performed, best fitness : 1396.64
iteration 703 performed, best fitness : 1396.42
iteration 704 performed, best fitness : 1396.22
iteration 705 performed, best fitness : 1396.44
