iteration 596 performed, best fitness : 1392.86
iteration 597 performed, best fitness : 1393.33
iteration 598 performed, best fitness : 1393.49
iteration 599 performed, best fitness : 1392.81
iteration 600 performed, best fitness : 1393.41
iteration 601 performed, best fitness : 1395.95
iteration 602 performed, best fitness : 1393.13
iteration 603 performed, best fitness : 1393.44
iteration 604 performed, best fitness : 1393.7
iteration 605 performed, best fitness : 1394.2
iteration 606 performed, best fitness : 1395.46
iteration 607 performed, best fitness : 1394.86
iteration 608 performed, best fitness : 1395.16
iteration 609 performed, best fitness : 1394.26
iteration 610 performed, best fitness : 1393.74
iteration 611 performed, best fitness : 1393.41
iteration 612 performed, best fitness : 1393.32
iteration 613 performed, best fitness : 1394.05
iteration 614 performed, best fitness : 1394.16
iteration 615 performed, best fitness : 1394.33
iteration 616 performed, best fitness : 1394.95
iteration 617 performed, best fitness : 1395
iteration 618 performed, best fitness : 1394.73
iteration 619 performed, best fitness : 1394.82
iteration 620 performed, best fitness : 1394.74
iteration 621 performed, best fitness : 1395.39
iteration 622 performed, best fitness : 1395.42
iteration 623 performed, best fitness : 1395.23
iteration 624 performed, best fitness : 1396.43
iteration 625 performed, best fitness : 1394.14
iteration 626 performed, best fitness : 1395.32
iteration 627 performed, best fitness : 1395.06
iteration 628 performed, best fitness : 1395.24
iteration 629 performed, best fitness : 1394.34
iteration 630 performed, best fitness : 1395.4
iteration 631 performed, best fitness : 1395.09
iteration 632 performed, best fitness : 1395.27
iteration 633 performed, best fitness : 1394.84
iteration 634 performed, best fitness : 1395.49
iteration 635 performed, best fitness : 1395.2
iteration 636 performed, best fitness : 1395.34
iteration 637 performed, best fitness : 1395.04
iteration 638 performed, best fitness : 1395.5
iteration 639 performed, best fitness : 1395.35
iteration 640 performed, best fitness : 1394.71
iteration 641 performed, best fitness : 1395.12
iteration 642 performed, best fitness : 1394.37
iteration 643 performed, best fitness : 1394.99
iteration 644 performed, best fitness : 1396.26
iteration 645 performed, best fitness : 1395
iteration 646 performed, best fitness : 1396.28
iteration 647 performed, best fitness : 1395.92
iteration 648 performed, best fitness : 1395.81
iteration 649 performed, best fitness : 1395.35
iteration 650 performed, best fitness : 1395.29
iteration 651 performed, best fitness : 1395.18
iteration 652 performed, best fitness : 1395.26
iteration 653 performed, best fitness : 1394.25
iteration 654 performed, best fitness : 1395.15
iteration 655 performed, best fitness : 1395.19
iteration 656 performed, best fitness : 1395.56
iteration 657 performed, best fitness : 1395.87
iteration 658 performed, best fitness : 1395.31
iteration 659 performed, best fitness : 1395.73
iteration 660 performed, best fitness : 1395.77
iteration 661 performed, best fitness : 1396.2
iteration 662 performed, best fitness : 1396.66
iteration 663 performed, best fitness : 1398.1
iteration 664 performed, best fitness : 1395.61
iteration 665 performed, best fitness : 1396.28
iteration 666 performed, best fitness : 1396.51
iteration 667 performed, best fitness : 1396.52
iteration 668 performed, best fitness : 1396.41
iteration 669 performed, best fitness : 1396.3
iteration 670 performed, best fitness : 1396.69
iteration 671 performed, best fitness : 1395.54
iteration 672 performed, best fitness : 1396.6
iteration 673 performed, best fitness : 1396.6
iteration 674 performed, best fitness : 1396.43
iteration 675 performed, best fitness : 1395.48
iteration 676 performed, best fitness : 1396.33
iteration 677 performed, best fitness : 1396.77
iteration 678 performed, best fitness : 1396.61
iteration 679 performed, best fitness : 1396.28
iteration 680 performed, best fitness : 1396.81
iteration 681 performed, best fitness : 1396.43
iteration 682 performed, best fitness : 1396.58
iteration 683 performed, best fitness : 1397.47
iteration 684 performed, best fitness : 1397.58
iteration 685 performed, best fitness : 1396.52
iteration 686 performed, best fitness : 1396.96
iteration 687 performed, best fitness : 1397.89
iteration 688 performed, best fitness : 1396.92
iteration 689 performed, best fitness : 1397.28
iteration 690 performed, best fitness : 1397.52
iteration 691 performed, best fitness : 1397.07
iteration 692 performed, best fitness : 1396.5
iteration 693 performed, best fitness : 1397.01
iteration 694 performed, best fitness : 1396.81
iteration 695 performed, best fitness : 1396.85
iteration 696 performed, best fitness : 1396.69
iteration 697 performed, best fitness : 1397.22
iteration 698 performed, best fitness : 1396.81
iteration 699 performed, best fitness : 1396.77
iteration 700 performed, best fitness : 1397.83
iteration 701 performed, best fitness : 1396.71
iteration 702 performed, best fitness : 1398.43
iteration 703 performed, best fitness : 1397.39
