iteration 692 performed, best fitness : 1112.82
iteration 693 performed, best fitness : 1127.73
iteration 694 performed, best fitness : 1128.8
iteration 695 performed, best fitness : 1161.79
iteration 696 performed, best fitness : 1175.66
iteration 697 performed, best fitness : 1158.55
iteration 698 performed, best fitness : 1185.39
iteration 699 performed, best fitness : 1179.23
iteration 700 performed, best fitness : 1163.98
iteration 701 performed, best fitness : 1139.09
iteration 702 performed, best fitness : 1125.91
iteration 703 performed, best fitness : 1153.04
iteration 704 performed, best fitness : 1216.98
iteration 705 performed, best fitness : 1177.56
iteration 706 performed, best fitness : 1155.88
iteration 707 performed, best fitness : 1166.76
iteration 708 performed, best fitness : 1181.52
iteration 709 performed, best fitness : 1178.01
iteration 710 performed, best fitness : 1188.18
iteration 711 performed, best fitness : 1176.79
iteration 712 performed, best fitness : 1153.82
iteration 713 performed, best fitness : 1203.35
iteration 714 performed, best fitness : 1176.78
iteration 715 performed, best fitness : 1195.59
iteration 716 performed, best fitness : 1226.99
iteration 717 performed, best fitness : 1196.65
iteration 718 performed, best fitness : 1185.18
iteration 719 performed, best fitness : 1193.37
iteration 720 performed, best fitness : 1204.91
iteration 721 performed, best fitness : 1225.43
iteration 722 performed, best fitness : 1208.15
iteration 723 performed, best fitness : 1222.8
iteration 724 performed, best fitness : 1207.74
iteration 725 performed, best fitness : 1199.88
iteration 726 performed, best fitness : 1235.09
iteration 727 performed, best fitness : 1210.51
